HCPCS_CODE,rows,TOTAL_UNIQUE_BENEFICIARIES_sum,TOTAL_CLAIMS_sum,TOTAL_PAID_sum
80053,1664536,191124835.0,226139755.0,1951315122.2699
90791,467317,14119006.0,16146970.0,1938448204.3999937
G0299,144999,6714696.0,34048381.0,1908639009.000002
E1390,291212,33114896.0,37800973.0,1894193726.3200083
H0043,20108,1457966.0,14374131.0,1887844846.9199998
T1502,40326,2827270.0,39292553.0,1869997730.739999
H2011,71153,3433025.0,6613568.0,1863200894.4400005
92014,994516,32590752.0,34678723.0,1855061785.430018
A0428,115552,10997316.0,21403107.0,1828756960.0599937
H0035,25168,1277289.0,14129079.0,1807047518.470001
T2020,27809,1472778.0,16056676.0,1806987216.5099995
S5135,29326,1470440.0,22550913.0,1771174312.869999
D0150,1337726,44129013.0,46846802.0,1757757811.2800379
99211,560277,32259778.0,44127221.0,1731507495.7999885
S5100,38512,1619507.0,16128307.0,1729716817.4599986
S5108,7345,809049.0,12092329.0,1720759449.170001
T1005,56780,2412269.0,23726217.0,1716881429.0499995
H0039,34236,1842531.0,13404413.0,1703584181.9100008
S5105,21445,1985970.0,21224538.0,1657314393.64
H0010,10085,547833.0,3875371.0,1636591319.6299992
0450,62285,16340750.0,18488280.0,1617303226.2200139
D1351,527999,16304114.0,61783307.0,1601573177.149984
97535,130552,4552457.0,21914840.0,1598401821.030004
S0215,77811,11358883.0,57790437.0,1544352327.6100004
T1002,95312,5951011.0,13932247.0,1515751669.2499945
D8670,144031,10370019.0,11143838.0,1514897978.6100016
43239,221273,5488164.0,5956836.0,1512205741.059999
D7140,449691,10800064.0,23686863.0,1477748652.9599793
92508,453977,33972157.0,110042491.0,1458873527.4699464
D1206,1169896,74829666.0,77773830.0,1443017133.7298896
88305,680642,28488376.0,33352065.0,1442671301.9400067
97155,68403,1954675.0,9439184.0,1441434242.0999966
S9122,18024,637937.0,12233963.0,1428107925.0600004
G0300,62805,2141302.0,17064855.0,1394181786.0099971
87491,354411,60779963.0,65707272.0,1391269612.5000055
D2391,556452,13241827.0,22805479.0,1388117898.4800208
99223,629947,14031414.0,15724018.0,1328324527.2999992
H2020,63204,2078045.0,7996240.0,1320072437.5800025
90460,1188311,52757966.0,68551665.0,1315894786.5400193
99291,285635,5752369.0,10902745.0,1313592202.1400027
92004,674558,19656773.0,20638089.0,1297311113.4600203
87591,345388,60215497.0,65183176.0,1284234442.950004
H2018,8430,768358.0,4269218.0,1284114421.0600002
90853,269812,10309447.0,35579531.0,1281352751.3799946
85025,2259404,227368740.0,276124130.0,1268183294.6499653
H0031,147120,8043579.0,10496976.0,1242653261.7999969
H0005,154725,5748648.0,23222742.0,1241455043.6399975
99394,686970,17425695.0,18994962.0,1237413323.0600119
G0480,153217,17658797.0,26079221.0,1237348004.3600082
H0011,11676,583636.0,3724085.0,1233576104.899999
J9271,7201,158878.0,230803.0,1229899613.4
H0023,17393,2987275.0,9489348.0,1229871219.5100007
96374,569912,30889435.0,36482989.0,1222059064.0999982
T1041,46006,1359332.0,1364087.0,1212193093.360008
G0483,46901,6897204.0,10906035.0,1152646948.0199974
H2035,18548,845352.0,8557719.0,1145669127.0400007
S5145,9777,442367.0,6247271.0,1124835072.449999
D7210,168445,4315096.0,10401864.0,1119961530.4099963
74176,343616,9340485.0,10243561.0,1099230928.0099978
90847,168547,6027616.0,10531444.0,1092016160.690006
90792,271850,7489930.0,8419882.0,1090614935.179996
D1208,1170690,68564692.0,70737820.0,1083552960.719978
S9083,116953,9314354.0,10509615.0,1076138930.6299946
96365,191631,9021554.0,12833815.0,1071539000.8299989
G2067,20575,2210326.0,7609377.0,1071044434.5899999
B4161,23262,1914181.0,2701000.0,1049842847.0300004
D0274,1310604,45127316.0,46867644.0,1046551415.5100769
81420,9896,3182919.0,3494267.0,1025001944.6500003
87635,392278,22362160.0,25850711.0,1018708178.7900567
T2030,25801,760578.0,891837.0,1017192384.1
A0120,68008,7899418.0,39043765.0,1000327218.9699998
T1025,10687,328578.0,4374172.0,996683448.6500001
D0999,78155,5126271.0,6424392.0,995597894.8299985
H0034,53257,4364048.0,8080524.0,972148045.2499987
T1027,60061,3326675.0,10406447.0,960684952.3700002
T2048,3593,112827.0,968519.0,958744313.6400001
A9276,7514,2378912.0,2806897.0,958644853.1200012
D0230,1400453,69309054.0,149565588.0,940042718.2000335
H0037,9204,1134038.0,5103231.0,936263191.9899998
36415,2730219,181860997.0,224973443.0,935786355.6899555
S9485,16231,1161662.0,2442431.0,931057143.1299996
S0280,13486,5083508.0,6581849.0,925803457.790001
71046,1380029,57493214.0,63003343.0,922535415.1000029
97112,387655,11474291.0,37646570.0,920641759.3099984
T4527,86326,10358429.0,10977971.0,919615290.7700005
71045,1858018,88154900.0,112591845.0,916817062.7200036
77067,421307,15955359.0,16804864.0,916756103.7699962
A0431,10055,452055.0,517462.0,915251588.1099997
H2013,3616,109561.0,1225020.0,912934600.2400001
D0330,734043,22321152.0,23644453.0,909413985.2599953
G0467,274935,15215878.0,19666126.0,909015664.509997
41899,28813,900202.0,1028626.0,903204333.440001
V2020,767111,44836282.0,47732976.0,887648201.930012
97140,465901,15083780.0,45357985.0,886919429.720002
T2012,3890,177251.0,4847167.0,873982247.5600001
T4535,103171,21179598.0,22240699.0,850819425.6600004
B4035,54245,4407146.0,6872390.0,837051290.2799997
T2026,3279,241887.0,4631122.0,818575263.7400004
D0220,1658833,75580812.0,80066712.0,816074762.0399579
D0272,1061440,49243535.0,51038487.0,799186470.3499577
